Name	Instructions	Difficulty	Impact	Muscle Group(s)	Easier Modification	Harder Modification	Equipment Required	Is Stretch	Link
dumbbell-archer	Stand with your feet at hip width and core engaged to support you throughout the movement. Start with a dumbbell in each hand, by your sides, lift your right arm out and up to shoulder height, in front of you keeping your arm as straight as possible. At the same time, draw the left hand dumbbell up and back to your left arm pit, so your left elbow points behind you. Imagine you are pulling back the string of a bow, like an archer. Control the dumbbells back down to your sides and repeat on the other side. Alternate sides for the duration of the exercise.	Medium	Normal	triceps, biceps, upper back, chest, shoulders	This exercise can be made easier by changing to lighter dumbbells or if you don&#8217;t have a lighter pair, try it with your arms slightly bent at the elbow to reduce the length of the lever. The other option is to start with no weights to learn the movement then try it with a tin of food in each hand, or 2 small (same size) bottles of water in each hand. Also check out our Dumbbell Front Raise and Dumbbell Hammercurl exercises as ways to build up strength before tackling the Dumbbell Archer.	This exercise can be made harder by changing to heavier dumbbells, but only go up in small weight increments and made sure you can do the exercise with perfect form form for the required duration before doing so.	Dumbbell	False	https://sworkit.com/exercise/dumbbell-archer
side-bend-on-floor	Lay down on a mat or a towel on a flat surface. Draw your legs in by bending your knees to 90 degrees. Place your arms by your sides lifted off the floor. From this start position, draw your belly button down towards the floor to engage your core, then contract your stomach muscles (abs) to lift your head and shoulder blades off the floor.	Easy	Low	abs, lower back	Start off with our Standing Side Crunch exercise to build up to this one.	From here, progress your side strengthening with Side Planks.	N/A	False	https://sworkit.com/exercise/side-bend-on-floor
single-arm-dumbbell-snatch-left	Hold a dumbbell in your left hand. Push your hips back and bend your knees and with left arm straight, lower the dumbbell to the floor. Keep your chest up, eyes looking forward. Push your hips forward, pulling your shoulders and chest up and back. Keeping the dumbbell close to your body, pull your left elbow up pulling the dumbbell up until you catch it at shoulder level. Keep your legs straight and glutes squeezed and push the dumbbell straight up above your head. Lower the dumbbell to your shoulder, then to waist level, and repeat.	Medium	Normal	abs, triceps, biceps, upper back, lower back, glutes, quadriceps	The exercise can be performed with the weight starting and finishing at the shoulder level, which is less intensive.	This can be performed with a dumbbell in each hand.	Dumbbell	False	https://sworkit.com/exercise/single-arm-dumbbell-snatch-left
downward-dog	From your hands and knees, pull your belly button to the spine to activate the core. Press firmly into your hands and feet to raise your knees off the floor coming into and inverted &#8216;V&#8217; position. Have the knees slightly bent whilst simultaneously directing your heels towards the floor, stretching the back of the legs. Aim to create a straight line with your spine from hands to hips, pull your belly button to your spine and pull your lower ribs into the body. Press your hands firmly into the floor and make space between the arms and the ears. Hold for a few breaths. The bend the knees and lower carefully to come back to all fours.	Easy	Normal	abs, triceps, upper back, chest, shoulders, calves, hamstrings	Bend your knees a lot to make it easier and shorten the distance between your hands and feet.	Lengthen the distance between your hands and feet.	N/A	False	https://sworkit.com/exercise/downward-dog
resistance-loop-side-taps	With the band around your shins, stand with bent knees and hips. Step one foot out sideways against the resistance of the band and tap it down and back to the center. Then repeat with the other foot to the other side and keep alternating.	Medium	Low	glutes, quadriceps	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	N/A	Resistance Loop	False	https://sworkit.com/exercise/resistance-loop-side-taps
arm-push-back	Stand with feet together and arms at your side. Start with hands in a fist position, by your sides. Then tense the backs of your arms to bring both arms slowly behind you. Keep back straight and breathing normal. 	Easy	Low	triceps, upper back, shoulders	This exercise can be done seated. 	How to make Arm Push Back harder	N/A	False	https://sworkit.com/exercise/arm-push-back
wrist-circles	Stand with feet shoulder width apart keeping your back straight and face forward. Bring your arms out to the side of your body and rotate your wrists slowly counter clock wise and then clock wise. Keep your breathing normal. This exercise is excellent for loosening up tight wrists and forearms.  	Easy	Low	triceps, biceps	This exercise can be done in a seated position.	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	N/A	False	https://sworkit.com/exercise/wrist-circles
tree-pose-left	From a standing position, pull your belly button to your spine for core activation. Press your feet down into the floor and tuck your coccyx (tailbone) slightly to your chest to feel length in your lower back. Take your palms together at your chest. Take all your weight into the left leg and lift your right knee to your chest. Take the right knee out to the side and place the right foot on your right thigh pressing the foot into the thigh and the thigh into the foot. Raise your arms overhead. Feel a continual lift of the hands, the head and the chest towards the sky. Hold for a few breaths. Bring your hands back to your chest and release the right foot from thigh and place back to the floor.	Medium	Normal	shoulders, calves, glutes, hamstrings, quadriceps	Instead of taking the foot to the thigh, take the foot to the calf instead. Do not put the foot on the side of the knee.	Try closing your eyes to challenge your balance. Over time increasing the time you keep your eyes shut for.	N/A	False	https://sworkit.com/exercise/tree-pose-left
warrior-pose-i-right	Start in a standing position facing the longest side of the mat. Step both feet out into a wide straddle. Turn to face your right leg as you turn your right foot in the direction you are now facing and turn the left foot 45 degrees towards the same direction. Reach both arms up overhead bringing the palms together and pull your belly button to your spine. Aim to square your hips to the way you are now facing and then bend deeply into your right knee. Press into your feet and hug them inwards (without them physically moving) to feel strength. Reverse out the same way by straightening the right leg, bringing the arms down and pivoting back to the side.	Easy	Normal	shoulders, calves, glutes, quadriceps	N/A	N/A	N/A	False	https://sworkit.com/exercise/warrior-pose-i-right
resistance-loop-clams-left	Lay on your right side, knees slightly bent. Draw your belly button in and activate your left knee up against the resistance of the band and down slowly.	Medium	Low	glutes	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	N/A	Resistance Loop	False	https://sworkit.com/exercise/resistance-loop-clams-left
x-drill-alternate-feet	Start off standing upright with your feet at hip width and your hands up behind your head, with elbows out wide. From here, jump one foot forwards and the other foot backwards at the same time, then immediate switch legs front to back. Stay up on the ball of the front foot. Keep this movement going for the duration of the exercise.	Medium	High	calves, glutes, hamstrings, quadriceps	Try our reverse lunges and forward lunges exercises	Amp this up by moving on to our Lunge Jumps exercise.	N/A	False	https://sworkit.com/exercise/x-drill-alternate-feet
seated-spine-twist	Sit on floor with your legs out straight in front of you, the inner thighs are together, the feet are flexed and your pelvis and spine are in neutral. Raise you arms out to the side with the palms down until they are at shoulder height, the shoulders are down away from the ears.	Easy	Low	abs, upper back, lower back, shoulders, quadriceps	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	N/A	False	https://sworkit.com/exercise/seated-spine-twist
mason-twist	Start in a seated position on the floor, with your legs bent in front of you. Interlace your fingers in front of your stomach. Engage your core by pulling your belly button in towards your spine and tensing your abs. Then lean back with a straight spine and lift your feet up off the floor.	Medium	Normal	abs	Modify this exercise to make it more manageable by keeping your feet on the floor and by sitting slightly more upright as you rotate, so there is less load on the core and lower back.	Increase the intensity of this exercise by keeping your arms straight to increase the length of the lever, or by holding a light dumbbell or weight in your hands. The other option is to hold your legs out straight in front of you off the floor, like in a V Sit-up.	N/A	False	https://sworkit.com/exercise/mason-twist
half-squat	Stand in front of a chair with your feet shoulder width apart. Put your arms out straight as you slowly lower yourself down towards the chair by sitting your hips back and down and bending your knees. Just before you actually sit on the chair stop moving downwards and tense your leg muscles to return to back to standing. Do this for a series of repetitions and keep your breathing normal and back straight. 	Easy	Low	calves, glutes, quadriceps	This exercise can be done by actually sitting on the chair if your balance is compromised. 	This exercise can be done without the aid of a chair and you can use resistance bands or weights. 	chair	False	https://sworkit.com/exercise/half-squat
hurdlers-stretch	Start in a upright seated position on the floor with your legs out in front of you. From here, take your right leg and bend it at the knee as you pull it round to the side with your arm. Then, bend your left leg at the knee and pull your left foot in towards your groin. 	Easy	Normal	lower back, glutes, quadriceps	If you find this position difficult to get into you may not be able to get an effective stretch, so try our Hip Opener stretch first as a seated stretch for the hip joint, then try our Ankle on the Knee stretch.	If you find this stretch easy, check out our yoga pose called Pigeon Pose Right and Pigeon Pose Left as other ways to target your hips.	N/A	True	https://sworkit.com/exercise/hurdlers-stretch
squat-jacks	Start off standing with your feet at hip width and up on your toes. Cross your arms in front of your chest, then jump your feet out sideways and open your arms out to the sides. When your feet land out wide, bend your knees and hips slightly to lower down into a quarter squat. 	Medium	High	abs, triceps, biceps, upper back, shoulders, calves, glutes, hamstrings, quadriceps	Try these easier exercises first: Step Touch, Wide Squats and Squat with Back Kick.	Increase the intensity by trying out our Jumping Jacks and Star Jumps exercises.	N/A	False	https://sworkit.com/exercise/squat-jacks
inner-thigh-lifts	Lie on your right side with your head supported in your right hand. Have your legs out straight with your hips vertical. Bend your left leg bringing your left foot in front of your right thigh and take hold of your left ankle with your left hand.	Easy	Normal	abs, glutes, quadriceps	Try holding the lift and circling the leg 5 times in each direction.	N/A	N/A	False	https://sworkit.com/exercise/inner-thigh-lifts
lower-back-stretch	Start seated with your legs straight out on the floor in front of you. Use your arms behind your hips to support your back. Then bend your right knee up and draw your right foot in, stepping it over your left leg and placing on the floor outside your left knee. From there, twist your spine and turn your shoulders to the right, bringing your left arm across your right knee and hooking it on the outside of the right knee.	Easy	Low	lower back, glutes, hamstrings	If you find this stretch hard to do whilst sitting upright, you can try our Laying Spinal Twist stretch instead. 	N/A	N/A	True	https://sworkit.com/exercise/lower-back-stretch
kettlebell-upright-row	Stand with your feet shoulder width apart and the kettlebell in both hands. Tighten your core and lift the kettlebell by raising your elbows to your shoulders. Keep your elbows above your wrists. Control the kettlebell on the way back down, making sure to lower the kettlebell all the way down so your arms are fully straightened. Do not swing your upper body, try to keep your body steady and only move your arms.	Easy	Low	triceps, biceps, upper back, chest, shoulders	Try this movement with lower kettlebell weight or with no weight.	Increase the weight of your kettlebell to make this exercise more challenging.	Kettlebell	False	https://sworkit.com/exercise/kettlebell-upright-row
wag-your-tail	Balance on all fours with your hands directly below your shoulders and your knees beneath your hips. Your spine should be resting comfortably in neutral.	Easy	Normal	abs, shoulders, glutes, quadriceps	If you are unable to maintain the position of the spine and pelvis, try omitting the movement of the arm and leg out to the side.	N/A	N/A	False	https://sworkit.com/exercise/wag-your-tail
arm-circles	In a standing position with your feet at hip width, raise your arms out sideways to shoulder height and keep them straight, palms facing down. Stand tall with good posture and your head looking straight ahead.	Easy	Low	upper back, chest, shoulders	If you find this too intense, you can bend your arms at the elbows so that your hands are by your arm pits and make circles with the points of your elbows.	After warming up with this exercise try some Power Circles to move the shoulders through a bigger range of motion.	N/A	False	https://sworkit.com/exercise/arm-circles
reach-ups	Lay down on a mat or a towel on a flat surface. Draw your legs in by bending your knees to 90 degrees. Reach up above your shoulders with your arms. From this start position, draw your belly button down towards the floor to engage your core, then contract your stomach muscles (abs) to raise up to a crunch position and reach your arms up as high as possible. Then lower back down to the floor and repeat. 	Medium	Normal	abs, lower back	Try our Abdominal Crunches first as a way to build up to this exercise.	From here move on to Twisting Crunches and Elevated Crunches to progress further.	N/A	False	https://sworkit.com/exercise/reach-ups
foam-roller-inner-hamstring-right	Sit on your left side with the right leg on the roller just above your knee. Place your hands on the ground and move your hips so the roller moves up and down the inner backside of your leg.	Easy	Low	hamstrings	N/A	N/A	N/A	False	https://sworkit.com/exercise/foam-roller-inner-hamstring-right
supine-bicycle	Start laying on your back on a mat or a towel. Bring your hands up by your ears and take your elbows out wide. Then elevate your feet off the floor with a 90 degree bend at your hips and your knees. You want your thighs to be vertical and your shins to be parallel to the floor. Then, keeping your lower back pressed down into the floor, tuck your chin to your chest, draw your belly button down and contract your abdominals to roll your upper spine up off the floor. This is the start position.	Medium	Normal	abs, lower back	Before working on this exercise, get strong with our Elevated Crunch, Twisting Crunches and Leg Lifts.	Once you&#8217;ve mastered the Supine Bicycle check out our In and Out Abs and Six Inch and Hold exercises to take your training up a notch.	N/A	False	https://sworkit.com/exercise/supine-bicycle
six-inch-and-hold	Start off lying flat on your back on the floor with your legs stretched out and your arms by uour sides. Pull your belly button down, in towards your spine, then contract your abs to lift your head and shoulders off the floor. Keep your lower back in contact with the floor at all times. Then at the same time as you lift your head and shoulders, lift your legs up straight off the floor until they are about six inches above the floor and hold here for the duration of the exercise.	Medium	Normal	abs, lower back, quadriceps	You can make this exercise easier by shortening the distance between your hips and your feet by bending at the knees, into a tucked six inch and hold. The easiest option is to bring your knees in so they are above your hips with your shins parallel to the floor.	Once you can hold this position with straight legs for the required duration you can increase the intensity by lifting your hands up off the floor, then try it with your arms reaching towards the ceiling, then try it with your reach out over head behind you.	N/A	False	https://sworkit.com/exercise/six-inch-and-hold
hero-pose	This is a kneeling position with the hips on the heels and the knees together. Pull in your belly to your spine and lift the crown of your head to the sky. Lengthen your (coccyx) tailbone down to the earth. Continually press downwards with the hips and upwards with the crown. 	Easy	Normal	quadriceps	N/A	N/A	N/A	False	https://sworkit.com/exercise/hero-pose
flamingo	Start off with feet shoulder width apart and hands at your side. Lift one foot of the ground and raise it to the height of your other knee. At the same time lift both hands above your head until your palms touch. Bring your hands back down to your sides and bring your foot down, then alternate with the other foot. Keep your breathing normal and it is very important to keep your back straight and head facing forward. This is an excellent exercise for building balance, strengthen your core, and opening up your chest and shoulders. 	Easy	Low	upper back, hamstrings	This exercise can be done in a seated position without raising your foot, if you feel your balance may be compromised. Keep your upper body straight and your face forward. 	This exercise can be done by placing the standing foot on an elastic band and pulling the band with your hands. That will help to give added resistance to your exercise. 	N/A	False	https://sworkit.com/exercise/flamingo
resistance-band-tricep-extensions	Stand on your resistance band with your feet at shoulder width and hold both handles at the back of your shoulders. Keep your elbows pointing upwards and your biceps in near your ears. Straighten both arms at your elbows working against the resistance of the band.	Hard	Low	triceps	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	Resistance Band	False	https://sworkit.com/exercise/resistance-band-tricep-extensions
resistance-loop-leg-spreader-2	Lay on your back, with the band around your knees. Tuck your hands under your hips and pull your lower back into the floor. Keeping your legs straight, brace your core and lift your legs slightly off the floor. Pull your legs apart, straight out to the sides, against the resistance of the band. Reverse the movement so your legs touch together. Your legs should remain straight and elevated off the floor.	Medium	Low	abs, glutes	Try Leg Spreaders without the resistance band.	Hold the legs apart for 5-10 seconds to increase the intensity.	Resistance Loop	False	https://sworkit.com/exercise/resistance-loop-leg-spreader-2
wide-leg-stance	From a standing position, pull your belly button to your spine for core activation. Take your elbows up to shoulder height with fingers touching in the center. Step your feet out wide ensuring the whole of your foot is firm to the ground. Push your feet into the ground and draw them slightly toward one another. Extend your arms out wide reaching far away with your fingers and activating arm muscles. Stay for a few breaths before bringing your arms back and then stepping back to center.	Easy	Low	shoulders, glutes, hamstrings	N/A	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	N/A	False	https://sworkit.com/exercise/wide-leg-stance
dumbbell-donkey-kick-right	Start on your hands and knees and position the dumbbell in the crease at the back of your right knee.  Tighten your glutes and lift your right leg out behind you. Keep a 90 degree angle at the knee to hold the dumbbell in place. Aim to lift your leg so that your knee is at hip height off the ground and the sole of your foot points to the ceiling. Avoid arching your lower back. 	Medium	Normal	lower back, glutes, hamstrings	This is a great exercise to do with out a dumbbell too, which will make it easier. Also check out our Fire Hydrant.	Make this exercise harder by increasing the weight of the dumbbell or slowing the movement down, especially the lowering phase of the exercise. Also check out our Kettlebell Single Deadlift exercise for another great glute and hamstring exercise.	Dumbbell	False	https://sworkit.com/exercise/dumbbell-donkey-kick-right
dumbbell-renegade-row-and-push-up	Start in high plank with a hand on each dumbbell, resting on the floor at shoulder width. Set your feet up wider than your shoulders to give your more stability. Then, lower your chest in between the dumbbells and do a push up. Keep your core engaged and body rigid. Then at the top row the right dumbbell into your right side ribs and back to the floor, then repeat with the left dumbbell rowing it into your left side ribs.	Hard	Normal	triceps, biceps, upper back, chest, shoulders	You can make this exercise easier, by lowering to your knees for the whole movement. Or, by lowering to your knees just for the push-up part of the exercise. You can use exercises like our Push-Up on Knees and Dumbbell Bent Over Row to build up strength in preperation for this exercise.	To increase the intensity of this exercise you can use heavier dumbbells, have your feet closer together, or change the ratio of push ups to rows, e.g. 2 push-ups then a row on each arm.	Dumbbell	False	https://sworkit.com/exercise/dumbbell-renegade-row-and-push-up
quadricep-stretch	Stand on your right leg and use your right arm for balance, then lift your left heal up behind you towards your hip. Reach back with your left arm to catch your left foot into your hand. 	Easy	Normal	quadriceps	If you have very tight quadriceps, it may be difficult to hold your foot behind you in your hand. If this is the case, place a step, bench or chair behind you to rest your foot on. As your flexibility improves, rest it on higher and higher surfaces until you can use your hand to hold the foot.	To intensify this stretch you can make it an active stretch by tensing your quadriceps to kick your foot into your hand whilst keeping the foot in close to your hip using your arm strength. Try alternating between 5 seconds of tensing, and 5 seconds of relaxing and stretching the muscles. Also try our Hip Flexor Stretch to target similar muscles.	chair	True	https://sworkit.com/exercise/quadricep-stretch
standing-side-crunch	From a standing position with your feet at shoulder width and a tall neutral spine, place your arms down by your sides. 	Easy	Low	abs, lower back	Build up to this with our low impact Elbow to Knee and Side Bend exercises.	Once you can do this standing move on to our Side Bench on Floor and Twisting Crunches exercises.	N/A	False	https://sworkit.com/exercise/standing-side-crunch
side-squat	The side squat is similar to a regular squat combined with a side step / jump at the top of each squat. So set up by making sure you have space either side of you and with your feet together. Then step your left foot out to the left and lower down into a squat position with your weight centred equally between both legs.	Medium	High	calves, glutes, hamstrings, quadriceps	Work up to this movement by progressing through Chair Squats, Squats and Step Touch in that order.	Amp things up with our Jump Squats and X Drill Rotations exercises.	chair	False	https://sworkit.com/exercise/side-squat
wide-leg-forward-fold	From a standing position, pull your belly button to your spine for core activation. Step your feet out wide ensuring the whole of your foot is firmly on the ground. Put your hands on your hips and ensure core is still active. Bend your knees slightly and then forward fold from the hips taking your hands to the floor if you can reach. If you can&#8217;t easily reach the floor then bend your knees generously. Gradually progress to getting the crown of your head nearer to the floor. Hold for a few breaths. To come out, make sure your knees are slightly bent, activate your core and take your hands to your hips. Raise to upright with a straight spine.	Easy	Normal	lower back, glutes, hamstrings	Just fold forward part of the way. 	N/A	N/A	False	https://sworkit.com/exercise/wide-leg-forward-fold
dumbbell-tricep-kickback-left	Holding a dumbbell in your left hand, step forward with your right foot and bend forward slightly at the hips so you rest your right hand on your right knee. Your chest should be up and open and eyes looking straight ahead. Keeping the upper left arm in line with your torso, bring the dumbbell back and up until the arm is straight. Aim to contract the muscles of your upper arm, but do not move it away from the body &#8211; it should be in contact with your torso throughout the exercise.	Medium	Normal	triceps	You can lean on the back of a chair, instead of your knee to make this feel more stable. 	Try the exercise with two dumbells simultaneously.	Dumbbell,chair	False	https://sworkit.com/exercise/dumbbell-tricep-kickback-left
teaser	Lie on your back with legs out straight, your heels connected and feet softly pointed. Take your arms back behind your head with your palms facing up without losing your neutral spine.	Hard	Normal	abs, quadriceps	Try starting sitting up with the legs together and knees bent, and the arms straight out in front. Keeping the knees bent, breathe out to roll the spine back down to the floor and breathe in to come back up. Once this is comfortable try the same movement with one leg straight keeping the knees together, and then switch the extended leg. 	N/A	N/A	False	https://sworkit.com/exercise/teaser
seated-hamstring-stretch	Start off sitting down with your legs out in front of you. Keep you legs flat against the floor, pull your toes towards you and don&#8217;t let your knees bend. From here, bend forward from the hips and reach out with your hands to take hold of your feet. 	Easy	Low	lower back, calves, hamstrings	If you cannot reach your hands to your feet without bending at the knees, just grab hold of your legs as far down as you can with your hands. Over time as your hamstring flexibility improves you will find you can reach further down your legs until eventually, you can hold on to your feet.	Try out standing Hamstring Stretch which will be a stronger stretch that seated because gravity will have a stronger effect.	N/A	True	https://sworkit.com/exercise/seated-hamstring-stretch
knee-to-chest-stretch	Start by lying on your back with your legs flat on the floor. Then bring one knee up into your chest, and hold your shin with your hands. Use your arms then to pull this bent leg in towards your chest as much as you can. During the stretch, keep your hips, shoulders and head on the floor during the stretch. Your spare leg should also stay flat on the floor.	Easy	Normal	glutes, quadriceps	N/A	N/A	N/A	True	https://sworkit.com/exercise/knee-to-chest-stretch
swimmer	Start off on the floor lying face down with your arms stretched out overhead. Lift your upper body into a back arch by lifting your chest away from the floor and contracting your glutes and back muscles. Keep your chin tucked so that you are looking towards the floor.	Medium	Low	abs, upper back, lower back, shoulders, glutes, hamstrings	Build up your back and core strength first with our T Raise, Laying Back Extension and Quadraplex exercises.	Progress from this exercise on to our Two-Point Plank when you are ready.	N/A	False	https://sworkit.com/exercise/swimmer
resistance-band-squats	Stand on your band with both feet at shoulder width and cross the handles over in your hands to make an X shape with it. Hold the handles up in front of your chest, then sit your hips back and down into a squat. Stand up with your right leg and kick your left leg out and up behind you.	Medium	Low	lower back, glutes, hamstrings, quadriceps	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	Resistance Band	False	https://sworkit.com/exercise/resistance-band-squats
cross-knee-lifts-left-2	Lay down on your back. Keep your back firmly pressed down against the floor and push your palms down into the floor, by your hips, to help stabilize your core. Straighten your left leg and bend your right leg, placing your right foot on top of your left knee. Keep your core braced and lift your left leg up so it points straight to the ceiling. Slowly lower your left leg until your heel is just off the floor, then repeat the movement. 	Medium	Low	lower back, glutes, hamstrings	Try the following to make it easier.	N/A	N/A	False	https://sworkit.com/exercise/cross-knee-lifts-left-2
back-arm-rowing	Sit upright with your knees bent and your feet flat on the floor. Straighten your arms out in front of you so the hands are at eye level with your palms up. As you breathe in sit up tall and draw the shoulders down away from the ears. You are now in the start position.	Easy	Normal	abs, upper back, lower back, shoulders	Place your hands behind your thighs. As you roll back use the hands to guide and control the movement, not to support your weight or pull yourself back up. 	While holding the rolled back position add on a rotation. On an inhale sweep one arm out to the side following the movement with the head, and return on an exhale. Repeat to the other side before returning to the start position.	N/A	False	https://sworkit.com/exercise/back-arm-rowing
resistance-loop-squat-and-leg-raise	With the band around your shins, stand with feet apart. Bend your hips and knees to lower down into a half squat. The as you stand up and straighten your legs, lift one up and lift it out to the side, squat again then repeat with the other leg.	Medium	Low	glutes, hamstrings, quadriceps	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	N/A	Resistance Loop	False	https://sworkit.com/exercise/resistance-loop-squat-and-leg-raise
squats	Start with your feet shoulder width apart on a flat level surface. This will be your starting position. Begin the movement by sitting your hips back, bending your knees and push them out to the sides a little, whilst keeping you head looking forwards at eye height and your chest up. Your heels should stay in contact with the floor and your weight should be centered, mid-foot. Continue down until your hips are level with your knees and your thighs are parallel (or as low to this as your mobility will allow). At the same time, raise your arms out straight in front of you to shoulder height. This helps offset the weight of your hips sitting back behind you.  This is the bottom of the squat, and quickly reverse the motion until you return to the starting position. As you squat, keep your head and chest up and push your knees out.	Easy	Normal	calves, glutes, quadriceps	Using a chair to lower down on to and stand up from is a great way to work towards a full squat. Check out our Chair Squat exercise for more info.	Progress from Squats on to Wide Squats, Squat with Kick Back and the different Lunge exercises we have.	chair	False	https://sworkit.com/exercise/squats
laying-side-kick	Start lying on your right side with your head supported in your right hand, your left palm into the floor in front of your chest and both legs out straight. Lift the legs and hinge at the hips to bring them slightly in front of the line of the body and lower them back down to the floor. Your lower spine should remain in neutral.	Easy	Normal	abs, glutes, quadriceps	Make the range of movement smaller. The mobility of the hip joint will dictate how far you can kick the leg forward and back without allowing your lower back to move.  	Continue straight into the other side lying leg exercises &#8211; lift and lower, leg circles.	N/A	False	https://sworkit.com/exercise/laying-side-kick
side-plank-2-way-leg-raise-left	Lay down on your left side and rest your upper body on your left elbow, making sure the elbow is in the same vertical line as your shoulder. Place your right hand on your right hip to help as a cue to keep your hips stacked.	Hard	Low	abs, shoulders, glutes	Try the following to make it easier.	N/A	N/A	False	https://sworkit.com/exercise/side-plank-2-way-leg-raise-left
lunge-rotation-stretch	Start standing up with your feet at hip-width, and your hands down by your sides. Take a long step forward with your right foot. As your front foot makes contact with the floor, bend at both knees to lower yourself down into the lunge position. At the bottom of the lunge, your knees should both be bent to approximately 90 degrees. Reach down with both hands so your fingertips are touching the floor. Keeping the left hand on the floor, reach straight up and behind you with the right arm, opening the chest. Return your right hand to join the left with fingertips on the floor.	Easy	Low	glutes, quadriceps	Try the following to make it easier.	N/A	N/A	True	https://sworkit.com/exercise/lunge-rotation-stretch
one-arm-side-push-up	Start off by laying down on your side with straight legs. Then place the hand from your top arm down on the floor in front of your chest. Bend this arm at your elbow. Wrap your bottom arm across your stomach so that it is tucked out of the way.	Easy	Normal	triceps, upper back, chest, shoulders	Build up strength in your triceps, shoulders and chest first by using our Lying Triceps Lifts and Push Up on Knees exercises.	Progress from this exercise to our Alternating Push Up Planks and try out Shoulder Tap Push Ups.	N/A	False	https://sworkit.com/exercise/one-arm-side-push-up
front-bend	Grab a chair or sturdy object and stand facing the back of the chair with enough space to tilt forwards. Set your feet at hip width and hold the back of the chair for support. Slowly bend forwards, hinging at the hips, and keeping your legs straight. Bend as far as you can and hold this stretch. Keep your breathing normal and your back straight. 	Easy	Low	abs, upper back, lower back, glutes, hamstrings	This exercise can be done seated and only bend forward as far as you can. 	N/A	chair	False	https://sworkit.com/exercise/front-bend
dumbbell-high-plank-row-left	Set up in a high plank with your feet wider than shoulder width and your right hand on the floor. Brace your core, legs and glutes to stay as rigid as possible and avoid twisting your hips or shoulders. Hold the dumbbell in your left hand and row it up into your lower left ribs.	Hard	Normal	abs, triceps, biceps, upper back, shoulders	To make this exercise less intense, lower your knees to the floor. You can also try out our Dumbbell Bent Over Row which is a standing exercise so its less intense on your core.	For similar but more challenging exercises try our Dumbbell Renegade Row and Push-Up exercise, and Dumbbell Push-up with Rotation.	Dumbbell	False	https://sworkit.com/exercise/dumbbell-high-plank-row-left
swan-dive	Start this dynamic stretch by standing up tall with your feet at hip width and your arms by your sides. Then sweep your arms out to the sides and above your head as you look up to the ceiling. Engage your glutes and core to push your hips forwards, as you reach backwards slowly with your arms into a slight back bend. Then return to upright, and circle your arms out to the side until they are about shoulder height. 	Easy	Normal	upper back, lower back, quadriceps	If you find it hard to bend forwards with straight legs, bend your knees slightly to ease the tension in your hamstrings. Also use our hamstring stretches like Hamstring Stretch Standing to improve their flexibility.	N/A	N/A	False	https://sworkit.com/exercise/swan-dive
side-angle-right	Start in a standing position Take your elbows up to shoulder height with fingers touching in the center. Jump your feet out wide ensuring the whole of your foot is firm to the ground and at the same time extend your arms until your hands are at shoulder height and your fingers reach in opposite directions with the palms down. Turn your right foot to point directly to the right hand side. Pull your belly button to your spine to active your core and gaze over your right hand. Bend your right knee until it comes over your right ankle. Activate your core and then lean from the hips to take your right hand to the floor outside the right foot. Take the left arm overhead creating a straight line from left ankle to left fingertips. Stay there for 3-5 breaths. To come out, ensure core is active and lift spine back to upright. Straighten your right leg, turn the right foot back in line with the left and jump back to center, bringing the fingertips back to center and then release your arms by your side.	Easy	Normal	abs, upper back, lower back, shoulders, calves, quadriceps	Taking the right elbow to the knee instead of taking the right hand to the floor makes this pose easier. 	Instead of taking the right hand to the floor, extend the right arm to be parallel with the left so both arms are outstretched on the diagonal.	N/A	False	https://sworkit.com/exercise/side-angle-right
laying-spinal-twist	Start by lying down on your back with your legs stretched out on the floor. Spread your arms out away from your sides and keep them pressed into the floor for support. 	Easy	Low	abs, lower back, glutes, hamstrings	If you find this too intense or you find your hamstrings are too tight to allow you to keep your leg straight, try this exercise with a 90 degree bend at the knee on the raised leg. Check out our Bent Leg Twist and Half Spinal Twist exercises.	N/A	N/A	False	https://sworkit.com/exercise/laying-spinal-twist
push-up-on-knees	Start at the top of the push up position with your hands on the floor, arms straight and underneath your shoulders. Step your knees back behind you so that there is a straight line through your body from your knees up to your head. Engage your glutes, tense your legs and brace your core to keep your body rigid. 	Easy	Normal	abs, triceps, upper back, chest, shoulders	Use wall push-ups as a way to build up strength in your chest and triceps before performing them on the floor. With wall push-ups you can vary the difficulty by stepping further way from the wall, so that you are leaning farther forwards.	Once you can perform 10 to 15 reps of Push-ups on Knees with good form, try lifting your knees up off the floor for the lowering phase of the movement. Then put them back down again to push back up to the top. This half half method is a good way to work up to the full push-up.	N/A	False	https://sworkit.com/exercise/push-up-on-knees
